,,,,,,,,,,,
Loan Id,Quarters,Years,Segment of Loan,Lender Name,Type of Loan,Original Loan size,Outstanding loan amount,Borrower Age,Borrower Income,New to Credit (Y /N),Gender
NBFCIN000COML267,Q1,FY19,Commercial,NBFC,Commercial Loan,155786640,81711620,10,83238940,N,F
NBFCIN000COML629,Q1,FY20,Commercial,NBFC,Commercial Loan,11236000,2862000,53,5724000,N,M
NBFCIN000COML127,Q1,FY21,Commercial,NBFC,Commercial Loan,15206880,5215180,41,7822770,Y,M
NBFCIN000COML461,Q1,FY19,Commercial,NBFC,Commercial Loan,5287800,2719440,51,1964040,N,F
PVT00COM187,Q1,FY19,Commercial,PVT Bank,Commercial Loan,8391600,4040400,30,6060600,N,F
PVT00COM24,Q1,FY20,Commercial,PVT Bank,Commercial Loan,22271700,4585350,28,12009250,N,M
PSUIN300133MICRO0133812,Q1,FY20,Commercial,PSU Bank,Commercial Loan,13555830,4603070,38,5130945,Y,F
PSUIN300310MICRO0120344,Q1,FY21,Commercial,PSU Bank,Commercial Loan,10604610,3340290,38,5253660,Y,M
PSUIN300103MICRO0128779,Q1,FY21,Commercial,PSU Bank,Commercial Loan,11463500,5731750,57,4681875,N,F
NBFCIN0001173,Q1,FY19,Microfinance,NBFC,Microfinance Loan,7630,2136,32,489446,Y,M
NBFCIN0001706,Q1,FY21,Microfinance,NBFC,Microfinance Loan,7280,2192,32,841734,Y,M
NBFCIN0001153C,Q1,FY21,Microfinance,NBFC,Microfinance Loan,14170,3718,39,530506,Y,M
NBFCIN000636,Q1,FY19,Microfinance,NBFC,Microfinance Loan,14840,5194,57,961848,N,M
NBFCIN0002049,Q1,FY21,Microfinance,NBFC,Microfinance Loan,16200,4393,62,383616,N,M
NBFCIN000312,Q1,FY19,Microfinance,NBFC,Microfinance Loan,16200,5115,52,876009,N,F
NBFCIN0001970,Q1,FY20,Microfinance,NBFC,Microfinance Loan,17600,5824,36,881688,Y,F
NBFCIN0001223,Q1,FY21,Microfinance,NBFC,Microfinance Loan,26400,8894,29,598832,N,M
NBFCIN000316,Q1,FY21,Microfinance,NBFC,Microfinance Loan,25500,9362,44,142884,N,M
NBFCIN000210I,Q1,FY20,Microfinance,NBFC,Microfinance Loan,27300,8866,30,807738,N,M
NBFCIN000548,Q1,FY21,Microfinance,NBFC,Microfinance Loan,27300,6695,36,890780,N,M
NBFCIN000642,Q1,FY20,Microfinance,NBFC,Microfinance Loan,28890,7155,38,1033566,N,M
NBFCIN0001344,Q1,FY19,Microfinance,NBFC,Microfinance Loan,34560,12096,39,642192,N,F
NBFCIN0001296,Q1,FY19,Microfinance,NBFC,Microfinance Loan,36380,9282,56,698855,N,F
NBFCIN0002404,Q1,FY19,Microfinance,NBFC,Microfinance Loan,38520,10692,51,809380,N,M
NBFCIN0001390,Q1,FY21,Microfinance,NBFC,Microfinance Loan,40330,11588,38,767124,N,M
NBFCIN0001567,Q1,FY21,Microfinance,NBFC,Microfinance Loan,46010,15952,30,653844,Y,M
NBFCIN0002289,Q1,FY21,Microfinance,NBFC,Microfinance Loan,48760,17047,40,604443,Y,M
NBFCIN000147H,Q1,FY21,Microfinance,NBFC,Microfinance Loan,50290,14344,47,471771,N,M
NBFCIN0001641,Q1,FY19,Microfinance,NBFC,Microfinance Loan,56160,18917,51,924840,N,M
NBFCIN0002361,Q1,FY20,Microfinance,NBFC,Microfinance Loan,57240,15025,26,663265,N,F
NBFCIN000231,Q1,FY19,Microfinance,NBFC,Microfinance Loan,59950,17160,28,937291,N,M
NBFCIN000875S,Q1,FY21,Microfinance,NBFC,Microfinance Loan,57750,20790,41,1043348,Y,F
NBFCIN0001516,Q1,FY20,Microfinance,NBFC,Microfinance Loan,61560,18639,55,1104824,N,F
NBFCIN000962,Q1,FY21,Microfinance,NBFC,Microfinance Loan,83200,26112,48,777000,N,M
NBFCIN0002481,Q1,FY19,Microfinance,NBFC,Microfinance Loan,110090,33289,40,524476,Y,F
NBFCIN0001760,Q1,FY19,Microfinance,NBFC,Microfinance Loan,119600,41745,36,1040160,N,M
NBFCIN0001826,Q1,FY21,Microfinance,NBFC,Microfinance Loan,122720,37642,29,341758,N,F
PVT00MICROV2430,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,7350,3295,40,697203,N,M
PVT00MICROV311,Q1,FY21,Microfinance,PVT Bank,Microfinance Loan,9810,4102,52,592680,N,M
PVT00MICROV190,Q1,FY20,Microfinance,PVT Bank,Microfinance Loan,14170,6099,38,560449,Y,M
PVT00MICROV592,Q1,FY19,Microfinance,PVT Bank,Microfinance Loan,15750,7704,56,769184,Y,F
